                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5365,                  1.459,                 1.4993,                0.51589,                0.56667,                0.46665,                0.20671,                 2.3348,                 2.1396,                 2.2365,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4589,                 1.4062,                 1.4359,                0.49205,                0.56667,                0.44509,                0.17381,                  2.259,                  2.145,                 2.2151,               0.001307,               0.001307,               0.001307
                     37,                 1.4902,                 1.3732,                 1.4417,                0.47714,                0.56667,                 0.4311,                0.17562,                 2.3251,                 2.1665,                  2.216,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4793,                 1.3063,                 1.3952,                 0.5395,                0.46667,                0.41568,                0.15449,                 2.3479,                 2.2128,                 2.2378,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4907,                 1.3866,                 1.4601,                0.59876,                0.46667,                0.46543,                0.16042,                 2.3186,                 2.0484,                 2.2257,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3571,                 1.2086,                 1.3885,                0.61317,                0.46667,                0.48508,                0.16499,                 2.3094,                 2.0807,                  2.222,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4168,                 1.3034,                 1.4091,                0.62568,                0.46667,                0.44399,                0.15728,                 2.3112,                 2.1433,                 2.2447,               0.001208,               0.001208,               0.001208
                     42,                 1.3707,                 1.2179,                 1.3802,                0.57569,                0.43333,                0.41998,                0.15367,                 2.3573,                 2.1138,                 2.3506,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4412,                  1.236,                  1.374,                0.52559,                0.43333,                0.40465,                0.14041,                 2.4349,                 2.1794,                 2.4159,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4171,                 1.2457,                 1.3833,                 0.6528,                0.46667,                0.45035,                0.15561,                 2.3836,                 2.1141,                 2.2907,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4395,                 1.2959,                 1.3973,                0.75807,                0.46667,                0.51507,                0.17519,                 2.3661,                 2.0428,                  2.247,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3283,                 1.1537,                 1.3455,                0.67028,                0.43333,                0.45682,                0.16535,                 2.3666,                 2.0459,                 2.3138,               0.001109,               0.001109,               0.001109
                     47,                 1.3515,                 1.2137,                 1.3471,                0.58977,                0.46667,                0.48341,                0.18024,                 2.4356,                 2.0212,                 2.3005,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4479,                 1.2389,                 1.3931,                 0.5319,                0.49261,                0.48332,                0.19298,                  2.459,                 1.9895,                 2.3333,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3755,                 1.2781,                 1.3876,                 0.4672,                0.52629,                0.42404,                0.16847,                 2.4885,                 1.9448,                 2.3919,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3518,                 1.2023,                 1.3601,                0.57744,                    0.6,                0.45051,                0.17025,                    2.4,                 1.8711,                 2.2954,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3137,                 1.1627,                 1.3737,                0.46875,                0.53333,                0.46368,                0.17184,                 2.4149,                 1.8749,                 2.2783,                0.00101,                0.00101,                0.00101
                     52,                 1.2491,                 1.1095,                 1.2772,                0.62129,                0.38325,                0.41408,                 0.1769,                 2.5625,                 1.9526,                 2.3237,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3372,                 1.1383,                 1.3517,                0.58987,                    0.4,                0.38619,                0.16344,                 2.5627,                 1.9843,                 2.3381,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.224,                 1.0474,                 1.2489,                0.45802,                0.46667,                0.40876,                 0.1743,                 2.4108,                 2.0343,                 2.2278,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2455,                 1.0618,                 1.2579,                0.58113,                0.46261,                0.38125,                0.15753,                 2.4551,                 2.0769,                 2.3188,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3194,                 1.1322,                 1.3145,                0.52101,                0.43516,                0.39032,                0.15818,                 2.4807,                 2.0211,                 2.3689,               0.000911,               0.000911,               0.000911
